condition,probe,n,majority_baseline,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,lift_over_baseline_pp,fold_0,fold_1,fold_2,fold_3,fold_4
no_drops,mlp,1198,0.5317,0.6294,0.0663,0.5125,0.6778,9.77,0.5125,0.6542,0.6542,0.6778,0.6485
no_drops,logreg,1198,0.5317,0.6728,0.0247,0.6458,0.7071,14.11,0.6542,0.6458,0.6708,0.7071,0.6862
no_drops,svc,1198,0.5317,0.6661,0.0185,0.65,0.6958,13.44,0.65,0.6708,0.6958,0.6527,0.6611
refusal_only,mlp,1193,0.5306,0.6321,0.0505,0.5523,0.6765,10.15,0.5523,0.6485,0.6151,0.6681,0.6765
refusal_only,logreg,1193,0.5306,0.653,0.0288,0.6276,0.7017,12.24,0.6485,0.636,0.6276,0.6513,0.7017
refusal_only,svc,1193,0.5306,0.6572,0.0364,0.6067,0.7017,12.66,0.6611,0.6778,0.6067,0.6387,0.7017
english_only,mlp,1152,0.533,0.6415,0.0357,0.6104,0.6957,10.85,0.6104,0.658,0.6304,0.6957,0.613
english_only,logreg,1152,0.533,0.6641,0.0296,0.6304,0.697,13.11,0.6407,0.697,0.6609,0.6913,0.6304
english_only,svc,1152,0.533,0.6554,0.032,0.6277,0.697,12.24,0.6277,0.697,0.6348,0.6826,0.6348
